End,Name,Count_x,Count_y,result
2023-7-16,Гречка,95,58,161
2023-7-20,Гречка,81,58,138
2023-6-28,Гречка,79,58,134
2023-10-23,Гречка,65,58,110
2024-9-6,Гречка,92,58,156
2024-3-7,Гречка,56,58,95
2024-6-8,Гречка,90,58,153
2023-1-5,Гречка,0,58,0
2024-9-9,Гречка,54,58,92
2024-8-14,Гречка,69,58,117
2023-10-15,Гречка,19,58,32
2024-10-10,Гречка,82,58,139
2023-6-9,Гречка,5,58,8
2023-11-9,Гречка,38,58,64
2024-11-26,Гречка,32,58,54
2024-10-17,Гречка,91,58,155
2023-8-20,Гречка,21,58,35
2024-11-28,Гречка,23,58,39
2024-3-2,Гречка,61,58,103
2024-1-16,Гречка,29,58,49
2024-10-3,Гречка,14,58,23
2024-7-22,Гречка,80,58,136
2024-1-23,Гречка,72,58,122
2024-9-22,Гречка,73,58,124
2024-9-17,Гречка,85,58,144
2024-11-6,Гречка,84,58,143
2024-6-19,Гречка,94,58,160
